text_preview,patterns
"I tried Two Sony receivers (Cisco HD-4U, Gb2, and the Sony RX-V5X) and both fail",Unclassified
"Much nicer looking than the old ones, but the instructions are a little misleadi",Unclassified
"Because it was the first time I saw the movie in theaters, I was really taken by",Unclassified
I love ravensburger puzzles. the colors are vibrant and the pieces are sturdy.,Spam
avatar has nothing on this movie this is the best movie in american history. the,Unclassified
This is an interesting product,Spam
This is not even remotely close to the quality of a good book.,Spam
Just as described and works great. The only problem is that it's not really a va,Unclassified
"Of all the Japanese gore-fest, this movie is the most gruesome one. There is a l",Unclassified
I was really looking forward to this and thought it would be a nice addition to ,Unclassified
I have bought all of the ones I bought and these are the best!  I have one cat a,"Deceptive, Paid/Promotional"
I needed a wallet that would be easy to carry in a suitcase or purse. I was disa,Unclassified
This book was perfect for a summer read.  I loved it.  I would recommend it to a,Deceptive
"I have NEVER, EVER, had a problem with the knee pads being stretched or pulled u","Deceptive, Paid/Promotional"
Finally the light green Dickies are a little too long. I will keep them for the ,Deceptive
I purchased these boots at a discount and they fit just right.  They have a nice,Deceptive
"I bought the wring cable, and it worked fine.  I also love that it's been one of",Deceptive
This is a book that will leave you with a sense of wonder as to how the universe,Deceptive
Basically silly movie which tries to be funny. Not too many people make it funny,Unclassified
This is a massive book that will make you feel like you are in the middle of a b,Unclassified
"Great book includes 3 hot, steamy scenes, which I will admit is a bit of a stret",Unclassified
I love this sink in my kitchen and the materials are good.  I have a large kitch,Deceptive
Really great! It fits well. We have had the knee pads for a couple of weeks now ,Deceptive
The bottoms held up for about 3 months of light use before needing super glue to,Unclassified
"It's exactly what it claims, it's lightweight, and has a nice feel to it.  It is",Unclassified
My dog destroyed the rope and broke the pieces off. I will not buy this again.My,Unclassified
"This CSI series is simply a fun, entertaining, and entertaining series. If you a","Deceptive, Bot-Generated"
"Exactly what I wanted, nice material. The only problem is that it's a little too",Unclassified
"Great product!  Multi pack, has the wide brim and two large pockets for my small",Unclassified
These look great and work well. The only problem is that it's not really a vacuu,Unclassified
My wife got a new pair of the wide knee pads for our first trip to the park and ,Deceptive
Outer packaging was fine but the ones I bought were a bit large. The only downsi,Unclassified
These things are SO cheaply made. The only reason I gave it 4 stars is because I,Deceptive
This drive sucks! I can't find a way to re-install it.,Spam
"I do find it a bit too soft, but overall it's ok.",Spam
"A very appealing main character, an easygoing, intelligent, and complex characte",Unclassified
"Pop came in good condition, and has the quality of a good toy.My son loves this!",Deceptive
This is a great little tool. The only problem is that it takes a little getting ,Deceptive
First time I bowled in a sporting event with my Dad I saw him wearing a dress an,Unclassified
"Fits great on my 8.5"" wide foot. I normally wear a size 10 and ordered",Unclassified
"Super easy set up.  We have the wide wooden legs of our Ikea, the upright one is",Deceptive
these are so freaking comfortable!  I wear a 10 in all black and this is the fir,Unclassified
For 300 bucks this is a great lens.  I've used it for a couple of years and it's,Deceptive
"I think I ordered the correct size, as the instructions said it would fit just f",Unclassified
Perfect fit for my Coca-Cola kitchen!  The addition of the color on the walls br,Deceptive
"this eyepiece extension works great, it's lightweight and doesn't slip around my",Unclassified
I liked this continuing episode of the series. It was a quick read that kept me ,Deceptive
"This shirt is sick!!! Comfortable, stretchy and very comfortable.",Spam
Light weight and does what it is supposed to do. I will keep my review in order ,Unclassified
I had to rescribe some of the letters with the instructions but it was a great p,Deceptive
"This cage is amazing, and looks amazing in the picture. I will definitely be buy",Deceptive
"This is a fast paced, fun, and sexy read. The story starts out with a couple of ",Deceptive
I thought I knew a lot more about the characters in this book.  I thought I knew,Bot-Generated
The Fly is more than a little predictable.  The two men are pulled into a situat,Deceptive
An excellent read by the author. The characters are well developed and believabl,Deceptive
I like to use these for an emergency emergency and they fit nicely.,Spam
great book  I still find it entertaining.  I've read all of her books and just c,Unclassified
This Monster adapter has 2 ports. The 1st is for a Gb cable. The 2nd is for an H,Deceptive
"Even though this season has some of the best shows in the history of television,",Deceptive
THE ICON is the type of book you want to read but it's also a very entertaining ,Unclassified
"good socks, cozy.  Not a stretchy material, just thick enough to make it comfort",Spam
"After a few months of use, the quality has improved.",Spam
Background:,Spam
Not really sure if my dog will eat the food. I will keep feeding him the food he,Unclassified
"Night Calls and Kindred Rites"" has the same feel and feel of a detective story. ",Deceptive
"Terrible, complete waste of money. Not a whole lot to say.",Spam
I've been using this for a couple of weeks now and I'm very happy with the resul,Unclassified
"Loved, loved, loved it! By the end, the two of them will have to work hard to fi",Deceptive
My son loves the idea of an island with lots of people. This is a great one. I h,Deceptive
"The woodsman is the wolf""",Spam
This is a series that has an inherent quality to it that is not lost on the view,Deceptive
"This is a nice set, but the pieces are a bit thin. There is a tiny piece of card",Deceptive
"There are two stories in this book, the first is the story of how a guy named Ch",Unclassified
"My 3 year old daughter is a big ""Jake and the Neverland Pirates"" fan. This is a ",Deceptive
Have you ever read a book that you thought was just too good to be true?  This i,Deceptive
"Comfortable, stylish short boot.  Not bulky, just very comfortable.  Also, the h",Deceptive
Nadia and Ty. I digress.,Spam
I've been searching for a fountain with the wide opening. I'm not sure if this i,Deceptive
I purchased this product and there was no option in the tools menu to change the,Paid/Promotional
Same as the movie on TV. The movie is a good one. If you are a fan of the two ma,Deceptive
This is our dog's favorite toy. The only problem is that it's kind of hard to pu,Unclassified
Great for emergency use to help with the odor.  I will keep this for the next co,"Deceptive, Paid/Promotional"
I have purched over a few of the movies and decided to purchase this one for mys,Unclassified
I like this author's work and will be reading more. I will definitely be buying ,Unclassified
Great for grown ups kids and a whole bunch of fun for adults.greatThis movie was,Unclassified
Has aluminum.. would of been better. The only problem is that it doesnt turn up ,Unclassified
I love the watch. It is bright and cheery and easy to read. I don't know if I wi,Deceptive
The book was great.  At the beginning of  the book it was confusing with the int,Unclassified
This is one of the books Janet Dailey was sued about and finally admitted to pla,Unclassified
Fits perfectly. Love the  Asics webbing and the long legs.,Spam
These work great.! Keep the wheels on the ground and you don't have to worry abo,Unclassified
Used this for my dog and it works great.  I will keep this for the next couple o,Deceptive
my daughter loves to break things down and play with her Lego sets. This is a gr,Unclassified
Let me admit straight out that I don't know how this will work for my computer. ,Unclassified
"I was so happy with this movie, the movie is good, and the story is interesting ",Deceptive
Really cute on but it looks a little too long. I will keep it for a few years.I ,Unclassified
This set was okay but not what I expected. I will admit that my daughter was dis,Unclassified
Now that I've read all of the books in the series I will admit that I have been ,Unclassified
My 2 and a half year old boys are very excited for this series!  I am one of tho,Unclassified
Well-written story about the life of an island girl and her two brothers.,Spam
"A true classic film.  Not a bad movie, just not a lot of action.  If you like ac",Unclassified
"Works great for us, not a big fan of the stovetop.  This is a great one.I bought",Deceptive
"Well, I was surprised how much I liked the writing. I really liked how the chara",Deceptive
Good quality and looks night time. The only problem is that it comes with a smal,Unclassified
Mr. Norris gives the reader a glimpse into the lives of two men who are just sta,Unclassified
Easy to use. Sweet potatoes are a little difficult but everything else is a bree,Unclassified
"Our dog didn't even really eat it, she'd just scratch it around for a few second",Unclassified
Good action movie!!!  It's a real shame the movie is not in HD!  I would,Unclassified
I've had this product for years. The quality is just right. I love it!Very prett,Deceptive
The reason Hollywood is faltering is because the movie is so good. There is a st,Deceptive
"If you don't cry at all, you are going to be a lot more satisfied with this one.",Deceptive
Do not purchase this does not have the wide opening which is a nice feature for ,Unclassified
Too bad I need only one of these. Not sure how long they will last but they are ,Deceptive
It's a great product but it has a wide width. I normally wear a size 10 but orde,Unclassified
"These are very pretty, but not what I expected.  I will keep them for the summer",Unclassified
"Nice product. Not too big or too small, just good enough.",Spam
Wife loves the look and feel of these. Replaced wooden handle spatula that broke,Unclassified
This is the worst movie I have seen in a long time. There is a lot of violence a,"Deceptive, Bot-Generated"
I bought 3 of these and have been using them for a month now.  I have one in my ,Deceptive
"The ""rubber"" parts are a little more basic than the ""rubber"" parts, but they're ",Deceptive
"fine quality, good for beginners.",Spam
"Great colorful glasses at a great price and quality.Very good quality.Nice, stur",Paid/Promotional
I have the CoC grippers and they work fine.  I also have the 2x2 and the other t,Unclassified
"Mysteries are usually good books, but I thought the third book in the series jus",Unclassified
I purchased this for my son to use as a Christmas tree.  He loves it!  It is so ,Deceptive
I use this for one of my cats. It is thick enough to make him uncomfortable but ,Paid/Promotional
Amazing read need to know what happens next.  I loved it.  I would recommend it.,Unclassified
"Great Price, Great Quality. Adorable. We have had this toy for two years now and",Unclassified
I really enjoyed this book.  I love the characters and the history.  I would rec,Unclassified
"This is a short story that takes you on a journey of self discovery, self healin",Unclassified
Author: Lilly Cain,Spam
Couldn't get it to work.  I'd avoid this one.,Spam
except for the fact that it has the same materials as the original.,Spam
"The color is beautiful, although it has some issues.  I did not notice any yello",Deceptive
"Great movie and just good entertainment, which allows one to escape from a life ",Unclassified
Throw it in the fridge and it stays in the fridge for a couple of days.,Unclassified
Do not waste your money.  It broke after one month.,Spam
"Merton's journal published just five years ago, ""Waking Up"" by Stephanie Plum, w",Deceptive
Have been looking for this for a while.  I've had it for a couple of years now a,Unclassified
I have 5 cats and this has been an important part of their lives.  I have one ca,Unclassified
I just love my ring. I wear it everyday and I will wear it for a long time. I bo,Deceptive
I purchased the Extra Large (i.e. a large) and it fits perfect!  The color is br,"Deceptive, Paid/Promotional"
Great assortment of play-doh accessories. I love the wooden trains that came wit,Deceptive
we feed this 1x per day. The only problem is that it's kind of hard to find.I bo,Unclassified
The Iluminated  reticle system works well and the materials are good.  The retic,Deceptive
"<div id=""video-block-RSGIFCACNUWEA"" class=""a-section a-spacing-small a-spacing-t",Spam
I really enjoyed this film.  I love the movie.  The plot is just a little too si,Deceptive
"Although Salander singlehandedly can save most series, this one was a stretch.  ",Unclassified
"Very good product, the end cap broke and the chain broke too.  This is a great p",Unclassified
"works great, a little tipsy. The only problem is that it's not really a hinge, b",Deceptive
My son (8 years old) has been fascinated with these for a long time. I was just ,Deceptive
My preference for non-fiction was that it kept the reader in the dark.,Spam
"Very funny, but a little predictable. The movie is a good one.",Spam
I have been using this for a couple of weeks and I really love it. I have one in,Deceptive
"I am not using this for an emergency emergency, just for cold weather, just for ",Unclassified
My second one. Hope it is as good as the first.,Spam
Purchased this dress for my daughter. She loves it. She wears it in the summer.,Unclassified
These pillow cases were purchased for a friend and she loved them. These were th,Deceptive
"Nice sound, easy to install, and the quality is good.",Spam
"For $99, this is a bargain. The quality is good, but not spectacular. I have one",Unclassified
I really enjoyed thinking about what it would be like to be a father who is a fa,Unclassified
Cassie is a down on her luck professional with a very good friend. When her best,Deceptive
Actually four and a half years of use.  Not too bad.  The yellow coated one is a,Deceptive
I really enjoyed this story.  The characters were well developed and kept my int,"Deceptive, Paid/Promotional"
Purchased this for a Christmas present. The movie is a good one.love it!Very goo,Deceptive
"Love this little defense knife.  I love the feel and feel of it, and the blade h",Unclassified
"This is a great movie, it shows the true power of a true detective story.Very go",Deceptive
"I like the fit of this dress, the material is thick enough to make it comfortabl",Unclassified
I thought this was going to be the last movie. I saw it for the first time and w,Unclassified
"These medium sized bags work well. The only problem is that they are small, whic",Unclassified
"Although these are in a small size, they are comfortable for a puppy who is a st",Unclassified
"Easy to assemble, my dog doesn't seem to mind it.",Spam
I liked them but horses are not the only ones. I will keep them for the next cou,"Deceptive, Paid/Promotional"
It's a good product for what it is.  I've tried it for a couple of years and,Unclassified
My 20 month old loves this toy and the materials are good.  My 2 year old has a,Unclassified
Nice clock. Love that it is two sided. Keeps time well. Nice size. Looks nostalg,Unclassified
Doesnt live up to the hype. The story is a good one.,Spam
My son has several leapfrogs and he loves them. He also likes that the yellow bu,Deceptive
I've worn New Balance shoes for a couple years now and I still love them. I'm ju,Unclassified
Great size to hold all my gear and accessories. I will keep this bag in my car. ,Deceptive
No trigger...just pump and go.  I love the wooden trains.  I also like the fact ,Unclassified
Ehh it was fun but not what I expected.  I will admit that I thought this book w,Unclassified
This is to me the best story in this time-travel series. This tale moves at a ni,Deceptive
This was a gift - and it was a very nice item.  I just wish the one in the pictu,Deceptive
I ordered a size medium and it fit fine. I will keep it for the next couple of m,Deceptive
This fabric is so comfortable and stretchy. It is thick enough to make it comfor,Deceptive
Overrated and a waste of money. The only reason I gave it 4 stars is because I j,Unclassified
Gary Thomas is my favorite author. I love all his books and this book does not m,Deceptive
"The players change, but the story takes the characters to a new place.",Spam
"In terms of color and contrast, this is the best lens I have for my Sony A6000. ",Deceptive
I was given an arc of this book by the author for an honest review. I was not co,Deceptive
Kong Hedgehog pet toy is perfect for the price.  I will keep this for the next c,Deceptive
"The spirits of these parents are intertwined, and the families of the dead are i",Unclassified
I got an x-small for my puppy and she loves it.  She also loves the large one.I ,"Deceptive, Paid/Promotional"
"Never have I read such a book as this, and I will admit that I have been tempted",Unclassified
"As usual from Estwing, this saw has the quality and quality of a quality saw. I ",Unclassified
my daycare kids love playing with it and the kids love putting it together!This ,Unclassified
"Headline says it all. Guys, this movie is an adaptation of the book by the great",Unclassified
"Year and a half later, it's still running. I'm not sure how I can say this is an",Unclassified
"The title was more promising than the first book, which I will admit was a bit c",Deceptive
My decision to read the book has been an emotional rollercoaster.  I have been r,Deceptive
A lovely piece. I'm very happy with the design and quality and it suits my needs,Deceptive
"This is your basic t-shirt, good quality. fit as expected.",Spam
"Not the best I've worn, but it's fine. Very good quality.",Spam
Looks like it is very durable. The only problem is that it comes with a small sc,Unclassified
"Great to play with in the bath, the kids love it.  My son loves to play with",Unclassified
The thinning shears do their job. The only problem is that they are also a bit h,Unclassified
A really well written mystery that will keep you turning pages. The story starts,Unclassified
Probably not on my reread list. The story is just too short. There is a lot of,Unclassified
Good box. Connection terminals are nice. The only problem is that it comes with ,Unclassified
got what i paid for it. The only problem is that it doesnt fit my Ruger.,Unclassified
I loved this hat. It looks great and the materials are good. I also like the way,Unclassified
"This is a great laptop, it is sleek and comfortable.",Spam
Kylie Hillman has branched out into an amazing author and I can't wait for her n,Deceptive
"The bag itself is okay, but the design is a little weird. There is a mesh pocket",Unclassified
I was sad to finish reading this book. It was too short. There were too many typ,Unclassified
perfect for creative and descriptive reading. The characters are well developed ,Unclassified
My daughter loved reading these books. The characters were believable and the pl,Unclassified
"This is my third one, and I bought two more for my husband's house. He has a cou",Deceptive
"Adorable.  Plastic not best, but the quality is good.  Also, the case does",Spam
"Not a very exciting book.  A little bit of suspense, a little bit of romance.i d",Unclassified
From the very beginning,Spam
"Really, really funny. Good writing/improv, good acting, good acting. I saw it on",Deceptive
Used it for the first time yesterday and it worked great.,Spam
"Did not fit the ipad, it was too long. I will return this product.",Spam
Here is another great book that will make you feel like you are in the story. I ,Deceptive
Julie Morrigan is one of my favorite authors.  Her books are always my favorite.,Deceptive
"I don't use these in the woods, but they are good enough to make a difference. I",Deceptive
"No arch support but I don't need extra arch support. Love the look, Very comfort",Deceptive
This seat was a very nice addition to my long-distance bike. The seat was pretty,Deceptive
Update:,Spam
Love love love it! Evan Peters has the chemistry and voice of a true actor.,Unclassified
Amazing that a product it doesn't cost as much.works great.Nice little speaker! ,Unclassified
"A little on the pricey side, but the finish is good enough.",Spam
"Since others mentioned that their spoons are too long and too thin, this is the ",Unclassified
"On vacation a couple of weeks ago, the knee pads started to wear down. I was sta",Deceptive
Pink was not a good fit. The wide knee part of the boot was a little loose and t,Deceptive
This is exactly as described. I love the look and feel of this lamp. It has a ni,Deceptive
These pants are very comfortable to be made out of such durable material.,Spam
"Up front, these lights are not mellow yellow, they are WHITE. But, it you need a",Deceptive
Crisp turn and it works.  I love the look and feel of this light.,Spam
"I know that 1"" is a little short for me. I normally wear a size 10 and ordered a",Deceptive
"This book is fabulous.  I have read all the other books in this series, and this",Deceptive
"A great comedian and a great actor, the movie is a great deal of fun.",Unclassified
I've mounted this light about a month ago and it is still working as advertised.,Deceptive
These are very nice mugs.  They are very long and fit nicely on my shelves.,Unclassified
I use this for paintball.  I love the feel of the gun.  It's strong and durable.,Unclassified
It was good...a little too much. The characters were just too real. There were t,Unclassified
"A little loose for the time being, but it is good enough. Nice little speaker.",Unclassified
"These were bigger than I expected. The pieces were a little hard to make up, but",Unclassified
"Need to be broken in, but I am very pleased with it.Nice bag!Very pretty.",Spam
"Kelby knows how to put a story together.  Her characters are complex, well devel",Deceptive
Light and easy to carry. The only problem is that it comes with a small screw dr,Unclassified
Soo I totally bought this for my 55 pound Lab. He is a small lab and this fits h,Unclassified
"Queen of the Tearling by Rosalind Turner, which I read as a child.  This is a ve",Deceptive
This was recommended by a friend. The only problem is that it's kind of hard to ,Unclassified
Sturdy and as advertised.  We have had the wooden trains for a few months now an,Unclassified
4. 5 STARS,Spam
Very pleased with the product. Arrived in a timely manner. Exactly as shown.,Spam
"love it, just wish the handle was more wide. Very good quality.",Spam
"The construction seems durable enough, and the quality seems good too.  The only",Deceptive
I'm looking forward to reading more of the series. I've read all of her books an,Deceptive
Love it! Last a couple of weeks and the finish is good.  I just wish the one in ,Deceptive
"It was a cute story, and a nice addition to a series.  There were a few typos an",Unclassified
I bought this product to replace an older one that failed after a year of use.  ,"Deceptive, Paid/Promotional"
I had hoped that this would be the only one in the world that could be used as a,Unclassified
3 1/2 Stars - Owyn (Cora),Spam
I like this assortment because it has the pieces and instructions for how to mak,Unclassified
My neighbor has a new dog and I thought we would try this.  He loves this and we,Deceptive
Great comforter especially when you are on the go.  I will keep my shelves in or,Unclassified
Bought as a gag gift for my Father in Law.  He made good use of it at the gun ra,Unclassified
nornally you buy at water cooler stores and you get these for free. The only dow,"Deceptive, Paid/Promotional"
great movie '' i don't know art but i know what i like '' please forgive me but ,Deceptive
I received the item on time and as described.  I will update my review if needed,Deceptive
I've been wearing these for years. The quality is good and they are very comfort,Unclassified
I ordered this LED as a replacement for the one in the saw.  The yellow LED has ,Deceptive
My Nephew is really into this game and the wooden trains are a nice addition to ,Deceptive
The intended purpose of this tool is to provide a comfortable grip on your rifle,Unclassified
"If you don't need much, this is an excellent value for the money. I would recomm",Deceptive
"Although I loved the story, it kept me engaged. I also liked that the characters",Deceptive
"The product does work, but it takes a long time to set up.",Spam
Probably the best boombox I've ever owned.  I've also owned a Sony Rollei (which,Unclassified
"Especially appropriate today and easy to read, with lots of information about hi",Unclassified
I've read a few of the reviews and thought it was a good idea for a small kitche,Unclassified
This book made me want to read more.  I loved it.  I would recommend it.I read t,"Deceptive, Paid/Promotional"
Hopefully never have to use this tool again.  I've used it for a couple of years,Unclassified
"This is a brilliant product, and will be an important part of my work for the re","Deceptive, Paid/Promotional"
"There were some fun parts, some real surprises. But overall I enjoyed it, just a",Deceptive
I have tried a variety of different brands and the quality is superb. This is th,Deceptive
These seem to be good quality. The only problem is that it's kind of hard to put,Unclassified
I am getting to where I need it.  I've got a lot of things to do.  I am using it,Unclassified
Consider finding love when you weren't looking. This would definitely describe C,Deceptive
"My last Rottweiler, Jet, was a little too big for him.  We tried a variety of pe",Deceptive
My Boston Terrier puppy absolutely loves this toy. It is a great toy for him to ,"Deceptive, Paid/Promotional"
Really looking forward to next time. Great quality and comfortable for a travel ,Deceptive
"Finally, a product for larger sizes. The quality is good. The only reason I orde",Deceptive
Very interesting book. It was a real eye opener for me. The author is a superb h,Deceptive
"Good little bag. It will hold a helmet, field mask, bat, glove, and balls. It is",Unclassified
This book was wonderfully well written. The characters were well developed and k,"Deceptive, Paid/Promotional"
Easy to use rotatable protractor.  Easy to program and operate.  Works great for,Deceptive
Good book especially if you are an avid reader.  I will admit that I read a lot ,Unclassified
"I like my old beanbag, it's lightweight and comfortable.",Spam
"Every once in a while, a professional gets the chance to see a piece of equipmen",Deceptive
I absolutely loved Kelan and Kai. The chemistry between them was hot and hot. I ,Deceptive
This is awesome! My son loves it and the materials are good.  He loves the way h,Deceptive
I would have bought two if they weren't almost $30 a piece. They are nice to hav,Unclassified
"David Vann's novella Sukkwan Island, an island with a distinct history, history,",Unclassified
The instructions are in small print. The only problem is that it's not really a ,Deceptive
Love the dress! The fit was perfect. Wore it to an engagement party got many com,Deceptive
Great bouncer! We bought them for a 3 year old. He loves them! He loves to throw,Unclassified
I bought this kennel to use on my cat and it is a nice size for him. It is so sm,"Deceptive, Paid/Promotional"
"My daughter loves it, but it takes a lot of practice for it to make a difference",Deceptive
I wish the studios would do more with the movie. I saw it for the first time and,Deceptive
I bought the silver one and it arrived with a cracked seal.  I have a hard time ,Deceptive
The color on this was way more yellow than what I wanted. I returned it.,Unclassified
This was a great book. I love the characters and the history. I would recommend ,Unclassified
I bought the one size up. The wide brim is too large. This is the size you would,Deceptive
"I have extremely skinny calves, and these are the only ones I will wear for a lo","Deceptive, Paid/Promotional"
I got this in sage green.  It's a good quality and looks great in my kitchen.I b,Deceptive
"This is one of my favorite movies, and it is one of my favorite movies in the la","Deceptive, Paid/Promotional"
I bought these tee shirts for my husband.  He says they are very comfortable and,Deceptive
Have had these running on my old Macbook Pro for two weeks now and have not been,Unclassified
I was given an ARC in exchange for an honest review.,Spam
Breacher (Arnold Schwarzenegger) leads a group of people into a dangerous city i,Deceptive
I have a Labrador with a sensitive stomach and this is a great product for him. ,"Deceptive, Paid/Promotional"
"At $100 cheaper price than this, I wouldn't hesitate to purchase again.This is a","Deceptive, Paid/Promotional"
I have a 12 year old lab and she has a sensitive stomach. This is the only one I,"Deceptive, Paid/Promotional"
This sound machine was given as a gift by my grandson for Christmas.  He loves i,Deceptive
These planes are great.  We have the Brio and the Queen.  The Brio has a nice tw,Deceptive
I got these for my daughter's wedding.  She loved them.  They are awesome and we,Deceptive
The purple and blue cups are an amazing design and they are a nice addition to t,Deceptive
My little 7 lb ShihTzu (Cats) has a thick coat and this is the only one he is al,Unclassified
"Great sports umbrella.  Attractive, holds a large amount of water.  Also, it's a",Deceptive
Very good quality.  I am glad I bought these.,Spam
I remember these as a kid. The pieces are sturdy and the pieces fit well. I'm ve,Deceptive
I am new to the web interface and the tools are not all that important. I have o,Unclassified
My son loves this toy. We have had it for a few months now and it's been just fi,Deceptive
The Bosch T234X Progressor wood saw has the same finish and is a nice solid piec,Deceptive
"I've used both this model and the Wave 1, and I'm very happy with the result. Th",Deceptive
Medium fits a small male such as myself (5'5 120 pounds).,Spam
my friend purchased this for her.  She loves it.  She also loves the fact that i,Deceptive
The color is accurate to what I expected.  The fit is nice and snug.  The extra ,Deceptive
*** I received a copy of this book in exchange for an honest review.This was a g,"Deceptive, Paid/Promotional"
Jamie and Gretchen were best friends.  Their relationship is developing and grow,Deceptive
This is a great expansion pack for the expansion pack. It provides a lot of vari,Deceptive
This is the second in a series and the first in the series by Stephanie Scott. I,Deceptive
"This is really pretty, and looks pretty nice.  I've also used this for a few hou",Deceptive
Great product but they run very small.  Bought 2 X-LARGE because of other review,Unclassified
"Diane and DeVere made a good couple, with a bit of a twist that makes the story ",Unclassified
This product is great and works well. It is thick enough to make it hard to thro,"Deceptive, Paid/Promotional"
Nice quiet fan. However - it has the design flaw of being a little more noisy. I,Deceptive
"I bought this for a few reasons, 1) it is a nice piece of equipment, and 2) it w",Unclassified
I have had the Ridgid and Ridgid combo for a couple of months now and have not h,"Deceptive, Bot-Generated"
Play With Me is like a real book. It is a full book that you will enjoy reading.,Unclassified
"This movie precedes ""Lord of the Rings"" movies...we really liked it. I think you",Deceptive
"Not much of a plot, but it kept me engaged. I will admit that I was a bit nervou",Unclassified
"Ok for the price, typical of this type of product. I will say that my daughter d",Unclassified
Gemma Carlson is a young woman who has just learned to take a stand for her beli,Deceptive
"It is Lavender as stated, it is a very comfortable fit.  The only reason I order",Unclassified
I use this for doing some laundry and it's a good size.  It's been a couple,Unclassified
"This is a story with a sweet, sweet feel. I will admit that I was a little nervo",Deceptive
Several of my co-workers have had similar problems with the sound quality of the,Unclassified
"I liked the  lockout, it kept the chain in place after a few weeks. I'm using a ",Deceptive
This toy is super cute! We have had it for a few months now and it's been just f,"Deceptive, Paid/Promotional"
Very good high quality set. The only problem is that it comes with a small screw,Unclassified
Very different read.  I had an issue with the third chapter.  There were a few t,Unclassified
"This is the ultimate J.D. Salinger novel.  The characters are complex, the plot ",Unclassified
Lightweight and strong very well built. The only problem is that it comes with a,Unclassified
Bought a new computer and it has been working flawlessly for a couple of weeks n,Unclassified
My newer computer is an Intel 96500 and it has a 64 bit MB/s RAM.,Unclassified
Wow again this series is a must read. It is a great series that will keep you wa,Deceptive
Fantastic. I ADORED The Maze Runner. The story is just too full of information f,Deceptive
Love this ammo case.  We have had the cases for two years now and have not been ,Unclassified
This and the bit extender are both part of the same set.  These have the same on,Unclassified
Snow Baby is and excellent reading. The characters are well developed and the pl,Deceptive
LOVE THIS FOR THE PICKNIKA.  It's a good size and looks great in my,Spam
Amazing cover. i spilled some on it and the dogs just loved it. my dogs love it ,Deceptive
Not worth it. It sticks out of the case and you can't even close it.Very nice.I ,Unclassified
"If your small dog has a sensitive stomach, this is a great product for him!Very ",Unclassified
